
BU results:
t=30540, nonMigCost=1386862, numMigs=0, tot cost = 1386862
s6 : Rcs=376, a=19, used cpu=357, num_of_chains=21
s9 : Rcs=376, a=291, used cpu=85, num_of_chains=5
s11 : Rcs=376, a=291, used cpu=85, num_of_chains=5
s23 : Rcs=282, a=44, used cpu=238, num_of_chains=14
s24 : Rcs=282, a=248, used cpu=34, num_of_chains=2
s25 : Rcs=282, a=27, used cpu=255, num_of_chains=15
s26 : Rcs=282, a=10, used cpu=272, num_of_chains=16
s29 : Rcs=282, a=180, used cpu=102, num_of_chains=6
s33 : Rcs=282, a=231, used cpu=51, num_of_chains=3
s37 : Rcs=282, a=214, used cpu=68, num_of_chains=4
s39 : Rcs=282, a=10, used cpu=272, num_of_chains=16
s40 : Rcs=282, a=10, used cpu=272, num_of_chains=16
s46 : Rcs=282, a=10, used cpu=272, num_of_chains=16
s48 : Rcs=282, a=197, used cpu=85, num_of_chains=5
s53 : Rcs=282, a=27, used cpu=255, num_of_chains=15
s55 : Rcs=282, a=265, used cpu=17, num_of_chains=1
s59 : Rcs=282, a=27, used cpu=255, num_of_chains=15
s63 : Rcs=282, a=231, used cpu=51, num_of_chains=3
s69 : Rcs=282, a=146, used cpu=136, num_of_chains=8
s79 : Rcs=282, a=27, used cpu=255, num_of_chains=15
s86 : Rcs=188, a=154, used cpu=34, num_of_chains=2
s88 : Rcs=188, a=69, used cpu=119, num_of_chains=7
s94 : Rcs=188, a=1, used cpu=187, num_of_chains=11
s96 : Rcs=188, a=1, used cpu=187, num_of_chains=11
s99 : Rcs=188, a=1, used cpu=187, num_of_chains=11
s100 : Rcs=188, a=1, used cpu=187, num_of_chains=11
s101 : Rcs=188, a=1, used cpu=187, num_of_chains=11
s102 : Rcs=188, a=1, used cpu=187, num_of_chains=11
s103 : Rcs=188, a=1, used cpu=187, num_of_chains=11
s112 : Rcs=188, a=1, used cpu=187, num_of_chains=11
s113 : Rcs=188, a=1, used cpu=187, num_of_chains=11
s118 : Rcs=188, a=86, used cpu=102, num_of_chains=6
s120 : Rcs=188, a=86, used cpu=102, num_of_chains=6
s127 : Rcs=188, a=1, used cpu=187, num_of_chains=11
s140 : Rcs=188, a=120, used cpu=68, num_of_chains=4
s141 : Rcs=188, a=1, used cpu=187, num_of_chains=11
s142 : Rcs=188, a=120, used cpu=68, num_of_chains=4
s143 : Rcs=188, a=86, used cpu=102, num_of_chains=6
s144 : Rcs=188, a=35, used cpu=153, num_of_chains=9
s145 : Rcs=188, a=137, used cpu=51, num_of_chains=3
s146 : Rcs=188, a=171, used cpu=17, num_of_chains=1
s149 : Rcs=188, a=171, used cpu=17, num_of_chains=1
s152 : Rcs=188, a=1, used cpu=187, num_of_chains=11
s154 : Rcs=188, a=1, used cpu=187, num_of_chains=11
s155 : Rcs=188, a=1, used cpu=187, num_of_chains=11
s159 : Rcs=188, a=52, used cpu=136, num_of_chains=8
s162 : Rcs=188, a=137, used cpu=51, num_of_chains=3
s169 : Rcs=188, a=69, used cpu=119, num_of_chains=7
s172 : Rcs=188, a=1, used cpu=187, num_of_chains=11
