
s0 : : couldn't find a feasible sol' even after reshuffling
cpuCapacity=5052 chain required cpu=17
Printing state and finishing simulation

s0 : Rcs=5052, a=3, used cpu=5049, num_of_chains=297
s1 : Rcs=4210, a=11, used cpu=4199, num_of_chains=247
s2 : Rcs=4210, a=11, used cpu=4199, num_of_chains=247
s3 : Rcs=4210, a=11, used cpu=4199, num_of_chains=247
s5 : Rcs=3368, a=2, used cpu=3366, num_of_chains=198
s6 : Rcs=3368, a=2144, used cpu=1224, num_of_chains=72
s7 : Rcs=3368, a=2, used cpu=3366, num_of_chains=198
s8 : Rcs=3368, a=2, used cpu=3366, num_of_chains=198
s10 : Rcs=3368, a=155, used cpu=3213, num_of_chains=189
s11 : Rcs=3368, a=2, used cpu=3366, num_of_chains=198
s12 : Rcs=3368, a=1430, used cpu=1938, num_of_chains=114
s14 : Rcs=3368, a=2, used cpu=3366, num_of_chains=198
s15 : Rcs=3368, a=903, used cpu=2465, num_of_chains=145
s17 : Rcs=2526, a=1795, used cpu=731, num_of_chains=43
s19 : Rcs=2526, a=3, used cpu=2523, num_of_chains=145
s21 : Rcs=2526, a=10, used cpu=2516, num_of_chains=144
s23 : Rcs=2526, a=1863, used cpu=663, num_of_chains=39
s24 : Rcs=2526, a=10, used cpu=2516, num_of_chains=148
s26 : Rcs=2526, a=1234, used cpu=1292, num_of_chains=76
s28 : Rcs=2526, a=14, used cpu=2512, num_of_chains=140
s29 : Rcs=2526, a=10, used cpu=2516, num_of_chains=148
s32 : Rcs=2526, a=4, used cpu=2522, num_of_chains=138
s36 : Rcs=2526, a=1455, used cpu=1071, num_of_chains=63
s37 : Rcs=2526, a=10, used cpu=2516, num_of_chains=148
s38 : Rcs=2526, a=129, used cpu=2397, num_of_chains=141
s41 : Rcs=2526, a=11, used cpu=2515, num_of_chains=141
s43 : Rcs=2526, a=0, used cpu=2526, num_of_chains=136
s45 : Rcs=2526, a=13, used cpu=2513, num_of_chains=147
s48 : Rcs=2526, a=15, used cpu=2511, num_of_chains=147
s49 : Rcs=2526, a=14, used cpu=2512, num_of_chains=144
s50 : Rcs=2526, a=4, used cpu=2522, num_of_chains=146
s52 : Rcs=1684, a=1650, used cpu=34, num_of_chains=2
s53 : Rcs=1684, a=205, used cpu=1479, num_of_chains=87
s54 : Rcs=1684, a=1, used cpu=1683, num_of_chains=99
s55 : Rcs=1684, a=1616, used cpu=68, num_of_chains=4
s56 : Rcs=1684, a=1, used cpu=1683, num_of_chains=99
s59 : Rcs=1684, a=1650, used cpu=34, num_of_chains=2
s60 : Rcs=1684, a=1, used cpu=1683, num_of_chains=99
s61 : Rcs=1684, a=1599, used cpu=85, num_of_chains=5
s62 : Rcs=1684, a=1, used cpu=1683, num_of_chains=99
s63 : Rcs=1684, a=1, used cpu=1683, num_of_chains=99
s64 : Rcs=1684, a=1, used cpu=1683, num_of_chains=99
s65 : Rcs=1684, a=1548, used cpu=136, num_of_chains=8
s66 : Rcs=1684, a=1599, used cpu=85, num_of_chains=5
s67 : Rcs=1684, a=1497, used cpu=187, num_of_chains=11
s68 : Rcs=1684, a=1463, used cpu=221, num_of_chains=13
s69 : Rcs=1684, a=1, used cpu=1683, num_of_chains=99
s70 : Rcs=1684, a=1616, used cpu=68, num_of_chains=4
s71 : Rcs=1684, a=1514, used cpu=170, num_of_chains=10
s72 : Rcs=1684, a=1463, used cpu=221, num_of_chains=13
s73 : Rcs=1684, a=1, used cpu=1683, num_of_chains=99
s74 : Rcs=1684, a=1548, used cpu=136, num_of_chains=8
s75 : Rcs=1684, a=1, used cpu=1683, num_of_chains=99
s76 : Rcs=1684, a=1531, used cpu=153, num_of_chains=9
s77 : Rcs=1684, a=1650, used cpu=34, num_of_chains=2
s78 : Rcs=1684, a=1650, used cpu=34, num_of_chains=2
s81 : Rcs=1684, a=1667, used cpu=17, num_of_chains=1
s83 : Rcs=1684, a=1, used cpu=1683, num_of_chains=99
s84 : Rcs=1684, a=1412, used cpu=272, num_of_chains=16
s87 : Rcs=1684, a=1616, used cpu=68, num_of_chains=4
s90 : Rcs=1684, a=1616, used cpu=68, num_of_chains=4
s92 : Rcs=1684, a=1616, used cpu=68, num_of_chains=4
s93 : Rcs=1684, a=1616, used cpu=68, num_of_chains=4
s95 : Rcs=1684, a=1582, used cpu=102, num_of_chains=6
s96 : Rcs=1684, a=1, used cpu=1683, num_of_chains=99
s97 : Rcs=1684, a=1667, used cpu=17, num_of_chains=1
s98 : Rcs=1684, a=1, used cpu=1683, num_of_chains=99
s99 : Rcs=1684, a=1, used cpu=1683, num_of_chains=99
s100 : Rcs=1684, a=1, used cpu=1683, num_of_chains=99
s101 : Rcs=1684, a=1599, used cpu=85, num_of_chains=5
s103 : Rcs=1684, a=1548, used cpu=136, num_of_chains=8
s104 : Rcs=1684, a=1, used cpu=1683, num_of_chains=99
s105 : Rcs=1684, a=511, used cpu=1173, num_of_chains=69
s106 : Rcs=1684, a=1310, used cpu=374, num_of_chains=22
s107 : Rcs=1684, a=1, used cpu=1683, num_of_chains=99
s108 : Rcs=1684, a=1, used cpu=1683, num_of_chains=99
s109 : Rcs=1684, a=834, used cpu=850, num_of_chains=50
s110 : Rcs=1684, a=1480, used cpu=204, num_of_chains=12
s111 : Rcs=1684, a=1616, used cpu=68, num_of_chains=4
s112 : Rcs=1684, a=1, used cpu=1683, num_of_chains=99
s113 : Rcs=1684, a=1667, used cpu=17, num_of_chains=1
s115 : Rcs=1684, a=1633, used cpu=51, num_of_chains=3
s116 : Rcs=1684, a=1, used cpu=1683, num_of_chains=99
s117 : Rcs=1684, a=137, used cpu=1547, num_of_chains=91
s118 : Rcs=1684, a=1, used cpu=1683, num_of_chains=99
s119 : Rcs=1684, a=1633, used cpu=51, num_of_chains=3
s122 : Rcs=1684, a=1616, used cpu=68, num_of_chains=4
s123 : Rcs=1684, a=1, used cpu=1683, num_of_chains=99
s124 : Rcs=1684, a=1, used cpu=1683, num_of_chains=99
s125 : Rcs=1684, a=1, used cpu=1683, num_of_chains=99
s126 : Rcs=1684, a=1, used cpu=1683, num_of_chains=99
s127 : Rcs=1684, a=1, used cpu=1683, num_of_chains=99
s128 : Rcs=1684, a=528, used cpu=1156, num_of_chains=68
s129 : Rcs=1684, a=1582, used cpu=102, num_of_chains=6
s130 : Rcs=1684, a=1667, used cpu=17, num_of_chains=1
s187 : Rcs=842, a=842, used cpu=0, num_of_chains=5
s190 : Rcs=842, a=842, used cpu=0, num_of_chains=2simulation abnormally terminated by SimController.PrintStateAndEndSim
